"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Engineering","Chemical Engineering.",77440,107589,"University of Illinois Urbana-Champaign"
"Engineering","Civil Engineering.",73397,90751,"University of Illinois Urbana-Champaign"
"Engineering","Civil Engineering.",79099,98700,"University of Illinois Urbana-Champaign"
"Engineering","Computer Engineering.",103123,136097,"University of Illinois Urbana-Champaign"
"Engineering","Electrical, Electronics and Communications Engineering.",86483,103028,"University of Illinois Urbana-Champaign"
"Engineering","Engineering Physics.",64304,109155,"University of Illinois Urbana-Champaign"
"Engineering","Materials Engineering",75080,96928,"University of Illinois Urbana-Champaign"
"Engineering","Mechanical Engineering.",80187,96770,"University of Illinois Urbana-Champaign"
"Engineering","Mechanical Engineering.",105575,128517,"University of Illinois Urbana-Champaign"
"Engineering","Industrial Engineering.",78313,98221,"University of Illinois Urbana-Champaign"
"Engineering","Engineering, General.",NA,86699,"University of Virginia-Main Campus"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",77922,93485,"University of Virginia-Main Campus"
"Engineering","Biomedical/Medical Engineering.",66823,94692,"University of Virginia-Main Campus"
"Engineering","Chemical Engineering.",85772,115895,"University of Virginia-Main Campus"
"Engineering","Civil Engineering.",74772,95518,"University of Virginia-Main Campus"
"Engineering","Computer Engineering.",118232,139318,"University of Virginia-Main Campus"
"Engineering","Electrical, Electronics and Communications Engineering.",82135,114299,"University of Virginia-Main Campus"
"Engineering","Mechanical Engineering.",74366,91262,"University of Virginia-Main Campus"
"Engineering","Systems Engineering.",91178,131258,"University of Virginia-Main Campus"
"Engineering","Systems Engineering.",115773,142475,"University of Virginia-Main Campus"
"Biological Sciences","Biology, General.",28242,75609,"UCLA"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",35210,76967,"UCLA"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",83835,134874,"UCLA"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",36945,64799,"UCLA"
"Biological Sciences","Microbiological Sciences and Immunology.",36403,77994,"UCLA"
"Biological Sciences","Physiology, Pathology and Related Sciences.",23151,77228,"UCLA"
"Biological Sciences","Neurobiology and Neurosciences.",30501,79689,"UCLA"
"Biological Sciences","Biology, General.",36642,76503,"University of California-Berkeley"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",43270,70181,"University of California-Berkeley"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",70631,120275,"University of California-Berkeley"
"Biological Sciences","Biology, General.",35241,66924,"University of California-Davis"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",42266,87815,"University of California-Davis"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",37952,72879,"University of California-Davis"
"Biological Sciences","Microbiological Sciences and Immunology.",46005,90315,"University of California-Davis"
"Biological Sciences","Genetics.",41334,78152,"University of California-Davis"
"Biological Sciences","Physiology, Pathology and Related Sciences.",37550,74551,"University of California-Davis"
"Biological Sciences","Pharmacology and Toxicology.",39202,73345,"University of California-Davis"
"Biological Sciences","Biotechnology.",59156,93489,"University of California-Davis"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",32161,52700,"University of California-Davis"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",NA,90734,"University of California-Davis"
"Biological Sciences","Neurobiology and Neurosciences.",29765,67848,"University of California-Davis"
"Biological Sciences","Biology, General.",25388,72132,"University of California-Irvine"
"Biological Sciences","Neurobiology and Neurosciences.",NA,89197,"University of California-Irvine"
"Biological Sciences","Biology, General.",34504,69381,"University of California-San Diego"
"Biological Sciences","Biology, General.",44139,70882,"University of California-San Diego"
"Biological Sciences","Biology, General.",80294,110617,"University of California-San Diego"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",45066,76922,"University of California-San Diego"
"Biological Sciences","Biomathematics, Bioinformatics, and Computational Biology.",76592,138331,"University of California-San Diego"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",31088,55518,"University of California-San Diego"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",50266,67025,"University of California-San Diego"
"Biological Sciences","Neurobiology and Neurosciences.",32081,69515,"University of California-San Diego"
"Biological Sciences","Biology, General.",33486,76068,"University of California-Santa Barbara"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",49100,90796,"University of California-Santa Barbara"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",38333,57001,"University of California-Santa Barbara"
"Biological Sciences","Zoology/Animal Biology.",37633,53012,"University of California-Santa Barbara"
"Biological Sciences","Pharmacology and Toxicology.",39421,97773,"University of California-Santa Barbara"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",29258,49625,"University of California-Santa Barbara"
"Biological Sciences","Biology, General.",24713,66170,"University of Florida"
"Biological Sciences","Microbiological Sciences and Immunology.",27994,60469,"University of Florida"
"Biological Sciences","Zoology/Animal Biology.",23809,58561,"University of Florida"
"Biological Sciences","Physiology, Pathology and Related Sciences.",24588,66875,"University of Florida"
"Biological Sciences","Physiology, Pathology and Related Sciences.",43895,52199,"University of Florida"
"Biological Sciences","Biological and Biomedical Sciences, Other.",63908,82512,"University of Florida"
"Biological Sciences","Biology, General.",27638,64387,"University of Georgia"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",34212,60787,"University of Georgia"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",NA,56925,"University of Georgia"
"Biological Sciences","Microbiological Sciences and Immunology.",37864,68825,"University of Georgia"
"Biological Sciences","Genetics.",19112,71717,"University of Georgia"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",29777,70132,"University of Illinois Urbana-Champaign"
"Biological Sciences","Biological and Biomedical Sciences, Other.",30178,60171,"University of Illinois Urbana-Champaign"
"Biological Sciences","Biology, General.",33471,64430,"University of North Carolina at Chapel Hill"
"Biological Sciences","Biology, General.",23395,67974,"University of Virginia-Main Campus"
"Psychology","Psychology, General.",30614,65954,"UCLA"
"Psychology","Psychology, General.",62453,93867,"UCLA"
"Psychology","Research and Experimental Psychology.",27748,78384,"UCLA"
"Psychology","Psychology, General.",NA,72810,"University of California-Berkeley"
"Psychology","Research and Experimental Psychology.",32301,62401,"University of California-Davis"
"Psychology","Psychology, Other.",31345,64230,"University of California-Davis"
"Psychology","Psychology, General.",27115,56253,"University of California-Irvine"
"Psychology","Research and Experimental Psychology.",29830,62639,"University of California-Irvine"
"Psychology","Psychology, General.",29144,56911,"University of California-San Diego"
"Psychology","Research and Experimental Psychology.",23420,70223,"University of California-San Diego"
"Psychology","Clinical, Counseling and Applied Psychology.",26953,63237,"University of California-San Diego"
"Psychology","Research and Experimental Psychology.",34431,66321,"University of California-Santa Barbara"
"Psychology","Psychology, General.",26003,57099,"University of Florida"
"Psychology","Psychology, General.",NA,54785,"University of Florida"
"Psychology","Psychology, General.",77375,112858,"University of Florida"
