"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Nursing","Communication Disorders Sciences and Services.",71102,83573,"California State University-Long Beach"
"Nursing","Health and Medical Administrative Services.",43594,65179,"California State University-Long Beach"
"Nursing","Health and Medical Administrative Services.",71934,109267,"California State University-Long Beach"
"Nursing","Mental and Social Health Services and Allied Professions.",61838,74009,"California State University-Long Beach"
"Nursing","Public Health.",32880,61686,"California State University-Long Beach"
"Nursing","Public Health.",67844,84760,"California State University-Long Beach"
"Nursing","Rehabilitation and Therapeutic Professions.",83234,90553,"California State University-Long Beach"
"Nursing","Dietetics and Clinical Nutrition Services.",23110,66995,"California State University-Long Beach"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",100178,113863,"California State University-Long Beach"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",143563,139337,"California State University-Long Beach"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",143367,145444,"California State University-Long Beach"
"Nursing","Communication Disorders Sciences and Services.",28702,45345,"California State University-Los Angeles"
"Nursing","Health and Medical Administrative Services.",69402,88315,"California State University-Los Angeles"
"Nursing","Public Health.",40750,56290,"California State University-Los Angeles"
"Nursing","Rehabilitation and Therapeutic Professions.",32805,50690,"California State University-Los Angeles"
"Nursing","Dietetics and Clinical Nutrition Services.",NA,57358,"California State University-Los Angeles"
"Nursing","Dietetics and Clinical Nutrition Services.",NA,73782,"California State University-Los Angeles"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",98811,120317,"California State University-Los Angeles"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",145897,142334,"California State University-Los Angeles"
"Nursing","Communication Disorders Sciences and Services.",22310,70031,"California State University-Northridge"
"Nursing","Communication Disorders Sciences and Services.",66689,86176,"California State University-Northridge"
"Nursing","Health and Medical Administrative Services.",44779,63357,"California State University-Northridge"
"Nursing","Health and Medical Administrative Services.",80896,97258,"California State University-Northridge"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",100724,106155,"California State University-Northridge"
"Nursing","Public Health.",39011,61716,"California State University-Northridge"
"Nursing","Public Health.",69076,83471,"California State University-Northridge"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",106780,119562,"California State University-Northridge"
"Nursing","Health Services/Allied Health/Health Sciences, General.",44162,66096,"California State University-Sacramento"
"Nursing","Communication Disorders Sciences and Services.",22915,62467,"California State University-Sacramento"
"Nursing","Communication Disorders Sciences and Services.",78448,78900,"California State University-Sacramento"
"Nursing","Rehabilitation and Therapeutic Professions.",91568,110544,"California State University-Sacramento"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",116001,138606,"California State University-Sacramento"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",103776,113277,"California State University-Sacramento"
"Nursing","Optometry.",88760,117797,"University of California-Berkeley"
"Nursing","Public Health.",48351,81604,"University of California-Berkeley"
"Nursing","Public Health.",NA,106720,"University of California-Berkeley"
"Nursing","Medicine.",72848,202075,"University of California-Davis"
"Nursing","Pharmacy, Pharmaceutical Sciences, and Administration.",40002,82523,"University of California-Davis"
"Nursing","Public Health.",52119,75971,"University of California-Davis"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",141870,172861,"University of California-Davis"
"Nursing","Health Professions and Related Clinical Sciences, Other.",133463,175076,"University of California-Davis"
"Nursing","Health and Medical Administrative Services.",NA,246519,"University of California-Irvine"
"Nursing","Medicine.",71598,143998,"University of California-Irvine"
"Nursing","Pharmacy, Pharmaceutical Sciences, and Administration.",20538,92028,"University of California-Irvine"
"Nursing","Public Health.",35463,64449,"University of California-Irvine"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",87715,118467,"University of California-Irvine"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",87217,150439,"University of California-Irvine"
"Nursing","Medicine.",67163,129999,"University of California-San Diego"
"Nursing","Medical Clinical Sciences/Graduate Medical Studies.",121264,132434,"University of California-San Diego"
"Nursing","Public Health.",39144,67103,"University of California-San Diego"
"Nursing","Dentistry.",NA,132246,"University of California-San Francisco"
"Nursing","Dentistry.",81971,126951,"University of California-San Francisco"
"Nursing","Advanced/Graduate Dentistry and Oral Sciences.",211240,172560,"University of California-San Francisco"
"Nursing","Health and Medical Administrative Services.",128685,133152,"University of California-San Francisco"
"Nursing","Medicine.",NA,164313,"University of California-San Francisco"
"Nursing","Medicine.",76908,153063,"University of California-San Francisco"
"Nursing","Medical Clinical Sciences/Graduate Medical Studies.",219237,312511,"University of California-San Francisco"
"Nursing","Pharmacy, Pharmaceutical Sciences, and Administration.",NA,182547,"University of California-San Francisco"
