"6_yr_median_earnings","10_yr_median_earnings","school_name","unitid","total_enrollment"
28282,38518,Bethune-Cookman University,132602,2727
41427,49006,Lynn University,132657,3520
31974,31683,North Florida Technical College,132675,45
32437,37195,Eastern Florida State College,132693,13114
33772,41939,Broward College,132709,30057
32168,41544,Albizu University-Miami,132842,864
33267,38203,College of Central Florida,132851,5483
35649,40596,Johnson University Florida,132879,155
47137,58308,University of Central Florida,132903,68346
31469,36349,Charlotte Technical College,132976,481
32129,37378,Chipola College,133021,1826
35937,36853,Lorenzo Walker Technical College,133155,675
32933,37096,Daytona State College,133386,11584
34115,34421,South University-West Palm Beach,133465,528
37505,51819,Eckerd College,133492,1993
37028,43421,Florida SouthWestern State College,133508,14326
29809,34782,Edward Waters University,133526,1181
65391,84131,Embry-Riddle Aeronautical University-Daytona Beach,133553,10271
36153,44349,Florida Agricultural and Mechanical University,133650,9215
45647,56746,Florida Atlantic University,133669,29592
36362,42244,Florida State College at Jacksonville,133702,20363
41963,49483,Flagler College,133711,2623
42430,43445,Florida College,133809,622
34027,34098,Concorde Career Institute-Jacksonville,133845,598
33128,35442,Concorde Career Institute-Miramar,133854,317
33985,36288,Concorde Career Institute-Tampa,133863,473
63230,72282,AdventHealth University,133872,1610
41941,43137,Florida Institute of Technology,133881,8315
47768,60249,Florida International University,133951,55609
40277,42508,The College of the Florida Keys,133960,920
28943,36624,Florida Memorial University,133979,1137
27999,28928,Florida Career College-Miami,133997,332
16915,26752,Florida School of Massage,134024,55
47749,55294,Florida Southern College,134079,3281
49814,61675,Florida State University,134097,44161
56398,71588,University of Florida,134130,55211
19581,23091,Fort Pierce Beauty Academy,134228,31
31917,38219,Full Sail University,134237,26737
35230,35234,George Stone Technical College,134291,663
47074,52312,George T Baker Aviation Technical College,134307,893
33651,38359,Gulf Coast State College,134343,4694
37719,42267,Key College,134422,23
34101,40782,Hillsborough Community College,134495,19504
25150,39863,Hobe Sound Bible College,134510,170
20710,21386,Hollywood Institute of Beauty Careers,134529,299
27841,29204,Cortiva Institute,134574,158
33822,38315,Indian River State College,134608,14862
22127,19824,International Academy,134714,396
61991,68010,Jacksonville University,134945,3837
37447,39696,Keiser University-Ft Lauderdale,135081,19020
15068,16879,La Belle Beauty School,135142,238
33237,37894,Florida Gateway College,135160,2706
